timestamp,equity,cash,inventory,average_entry_price,realized_trading_pnl,unrealized_trading_pnl,funding_pnl,fees,mid,best_bid,best_ask,spread,funding_rate,bid_quote,ask_quote,fair_price,reservation_price,half_distance,funding_target,pressure,strategy_reason,kill_switch
2026-03-19 00:00:00.004299483+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203.45,2203.4,2203.5,0.09999999999990905,0.0,2203.2,2203.8,2203.4608073638683,2203.4608073638683,0.2,-0.0,0.43229455472995454,ok,False
2026-03-19 00:01:00.029035911+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203.05,2203.0,2203.1,0.09999999999990905,0.00011493693099157,,2203.3,,,,,,,False
2026-03-19 00:02:00.019166425+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2202.3500000000004,2202.3,2202.4,0.09999999999990905,9.523910051023e-05,2201.9,,,,,,,,False
2026-03-19 00:03:00.042136493+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2202.45,2202.4,2202.5,0.09999999999990905,0.000104326684054227,2202.0,,,,,,,,False
2026-03-19 00:04:00.111825667+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2204.25,2204.2,2204.3,0.1000000000003638,0.000102467683444037,2203.9,,,,,,,,False
2026-03-19 00:05:00.020412578+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2205.8500000000004,2205.8,2205.9,0.09999999999990905,8.0920526040598e-05,2204.7,2206.7,,,,,,,False
2026-03-19 00:06:00.046597536+00:00,-0.11267279161006002,-182.74391949732657,0.08280946143616393,2206.8,0.0,-0.1035118267952049,-2.3768839995043625e-05,0.009137195974866329,2205.55,2205.5,2205.6,0.09999999999990905,0.000103489755025733,2204.7,,,,,,,,False
2026-03-19 00:07:00.133108104+00:00,-0.3197372178231368,-182.74391949732657,0.08280946143616393,2206.8,0.0,-0.31053548038561474,-6.454146264608293e-05,0.009137195974866329,2203.05,2203.0,2203.1,0.09999999999990905,0.000111129799533895,2202.4,,,,,,,,False
2026-03-19 00:08:00.035009808+00:00,-0.06306782703984935,-182.74391949732657,0.08280946143616393,2206.8,0.0,-0.05382614993355174,-0.00010448113141264078,0.009137195974866329,2206.1499999999996,2206.1,2206.2,0.09999999999990905,9.6902488259701e-05,2205.7,,,,,,,,False
2026-03-19 00:09:00.036984006+00:00,-0.19559916470076844,-182.74391949732657,0.08280946143616393,2206.8,0.0,-0.18632128823136884,-0.00014068049453313752,0.009137195974866329,2204.55,2204.5,2204.6,0.09999999999990905,9.3934480519933e-05,,,,,,,,,False
2026-03-19 00:10:00.099111120+00:00,-0.44406530182508747,-182.74391949732657,0.08280946143616393,2206.8,0.0,-0.43474967253986063,-0.00017843331034127354,0.009137195974866329,2201.55,2201.5,2201.6,0.09999999999990905,0.000103714977535866,,,,,,,,,False
2026-03-19 00:11:00.067837838+00:00,-1.1298289147989888,-340.6489838119319,0.1546334615792639,2202.944824056195,0.0,-1.112560549263209,-0.00023591634518469782,0.017032449190596592,2195.75,2195.7,2195.8,0.1000000000003638,0.000107971679594233,2194.9,2196.2,,,,,,,False
2026-03-19 00:12:00.054109397+00:00,-0.8515621219214412,-340.6489838119319,0.1546334615792639,2202.944824056195,0.0,-0.8342203184205058,-0.00030935431036691426,0.017032449190596592,2197.55,2197.5,2197.6,0.09999999999990905,9.5036446848751e-05,2196.9,2197.9,2197.5705745019013,2197.3593751184567,0.41457922570445616,-0.18498700233527185,0.42401730634367835,ok,False
